,Algorithm,Dataset,Accuracy,Precision,Recall
0,Random-Forest,dataset,0.9621660946262839,0.9624100433242868,0.9621660946262839
1,Random-Forest,dataset_l,0.9538177661003913,0.9540541152875361,0.9538177661003913
2,Random-Forest,dataset_outliers,0.9647355890628383,0.9652900606020639,0.9647355890628383
3,Random-Forest,dataset_l_outliers,0.9593465962593474,0.959741035635336,0.9593465962593474
4,Random-Forest,dataset_isolation,0.9683286469472243,0.9685416306182189,0.9683286469472243
5,Random-Forest,dataset_l_isolation,0.9781889130147438,0.9781874231836248,0.9781889130147438
6,Random-Forest,dataset_dc_outliers,0.9671670494700623,0.967679130713063,0.9671670494700623
7,Random-Forest,dataset_l_dc_outliers,0.9596668932575483,0.9601137253461942,0.9596668932575483
8,Random-Forest,dataset_sample,0.8963951981740018,0.8973835318513853,0.8963951981740018
9,Random-Forest,dataset_outliers_representative,0.9037755511022044,0.9078580960033655,0.9037755511022044
10,Random-Forest,dataset_outliers_l_representative,0.8929911403978938,0.8988411285173494,0.8929911403978938
11,Random-Forest,dataset_outliers_reduce,0.9337132962989683,0.9340753936074115,0.9337132962989683
12,Random-Forest,dataset_l_outliers_reduce,0.9440519087571385,0.9444874961747758,0.9440519087571385
13,Random-Forest,dataset_m_outliers,0.8187895791583166,0.8273431555450468,0.8187895791583166
14,Random-Forest,dataset_l_m_outliers,0.7785940242351631,0.8067747581303293,0.7785940242351631
15,Bagging,dataset,0.9609999462247677,0.961257421576108,0.9609999462247677
16,Bagging,dataset_l,0.9509912211463621,0.9511920614472057,0.9509912211463621
17,Bagging,dataset_outliers,0.9641584301276964,0.9646367095819061,0.9641584301276964
18,Bagging,dataset_l_outliers,0.9571805525994013,0.9575673285840874,0.9571805525994013
19,Bagging,dataset_isolation,0.966759936288374,0.9669488393978567,0.966759936288374
20,Bagging,dataset_l_isolation,0.9756660635283014,0.9756662604652225,0.9756660635283014
21,Bagging,dataset_dc_outliers,0.9669363109468876,0.9674048940390344,0.9669363109468876
22,Bagging,dataset_l_dc_outliers,0.9577095942254565,0.958113642207242,0.9577095942254565
23,Bagging,dataset_sample,0.9005397334797793,0.9006673927841427,0.9005397334797793
24,Bagging,dataset_outliers_representative,0.892120240480962,0.8934055194591981,0.892120240480962
25,Bagging,dataset_outliers_l_representative,0.8882513058191717,0.8929695888304858,0.8882513058191717
26,Bagging,dataset_outliers_reduce,0.9327321261092273,0.9330927643658091,0.9327321261092273
27,Bagging,dataset_l_outliers_reduce,0.9422453033381117,0.9425266583579489,0.9422453033381117
28,Bagging,dataset_m_outliers,0.8189659318637275,0.8276227330833277,0.8189659318637275
29,Bagging,dataset_l_m_outliers,0.7788882933442633,0.8068371515955617,0.7788882933442633
30,Ada-Boost,dataset,0.9401947883661912,0.9403540540917736,0.9401947883661912
31,Ada-Boost,dataset_l,0.9378470457586253,0.9380675195781439,0.9378470457586253
32,Ada-Boost,dataset_outliers,0.9513310727941706,0.9516853150167742,0.9513310727941706
33,Ada-Boost,dataset_l_outliers,0.9437586759959764,0.9441003644574086,0.9437586759959764
34,Ada-Boost,dataset_isolation,0.9528716046331421,0.9530505009305321,0.9528716046331421
35,Ada-Boost,dataset_l_isolation,0.968526931591956,0.9685816517392185,0.968526931591956
36,Ada-Boost,dataset_dc_outliers,0.9532683525490322,0.9536704581293167,0.9532683525490322
37,Ada-Boost,dataset_l_dc_outliers,0.9437003834654082,0.9440669078209425,0.9437003834654082
38,Ada-Boost,dataset_sample,0.9130934708552502,0.9134081979005327,0.9130934708552502
39,Ada-Boost,dataset_outliers_representative,0.8892024048096192,0.89284615807743,0.8892024048096192
40,Ada-Boost,dataset_outliers_l_representative,0.8872528927704386,0.8913417711212426,0.8872528927704386
41,Ada-Boost,dataset_outliers_reduce,0.9171776928071568,0.9183677425484624,0.9171776928071568
42,Ada-Boost,dataset_l_outliers_reduce,0.9204714331713346,0.921234695101294,0.9204714331713346
43,Ada-Boost,dataset_m_outliers,0.818436873747495,0.8270614043705701,0.818436873747495
44,Ada-Boost,dataset_l_m_outliers,0.7788882933442633,0.8070201896975564,0.7788882933442633
45,Gradient-Boosting-Regressor,dataset,0.9620502385676915,0.9622680262196308,0.9620502385676915
46,Gradient-Boosting-Regressor,dataset_l,0.9534779613827034,0.9536993025515598,0.9534779613827034
47,Gradient-Boosting-Regressor,dataset_outliers,0.9651828872375731,0.965782139075783,0.9651828872375731
48,Gradient-Boosting-Regressor,dataset_l_outliers,0.9585520634016588,0.9590137376667791,0.9585520634016588
49,Gradient-Boosting-Regressor,dataset_isolation,0.9670574537998589,0.967219496807553,0.9670574537998589
50,Gradient-Boosting-Regressor,dataset_l_isolation,0.9771511730926747,0.9771479858370954,0.9771511730926747
51,Gradient-Boosting-Regressor,dataset_dc_outliers,0.9674927713160516,0.9679902829660824,0.9674927713160516
52,Gradient-Boosting-Regressor,dataset_l_dc_outliers,0.9583257870095963,0.9588626991498508,0.9583257870095963
53,Gradient-Boosting-Regressor,dataset_sample,0.903002428371618,0.9033503552864826,0.903002428371618
54,Gradient-Boosting-Regressor,dataset_outliers_representative,0.8994629258517034,0.9013925421297235,0.8994629258517034
55,Gradient-Boosting-Regressor,dataset_outliers_l_representative,0.8722872066504819,0.873258324607054,0.8722872066504819
56,Gradient-Boosting-Regressor,dataset_outliers_reduce,0.9301493398744679,0.9305592352214044,0.9301493398744679
57,Gradient-Boosting-Regressor,dataset_l_outliers_reduce,0.937411924421103,0.9376954894663537,0.937411924421103
58,Gradient-Boosting-Regressor,dataset_m_outliers,0.8190460921843687,0.8275479120737765,0.8190460921843687
59,Gradient-Boosting-Regressor,dataset_l_m_outliers,0.7788252356780275,0.8067943535261276,0.7788252356780275
